連續劇名稱,總時長 (格式化),總秒數,累計小時數
市井豪門,455:40:49,1640449.71,455.68
愛的榮耀,493:10:55,1775455.63,493.18
風水世家,800:42:29,2882549.67,800.71
多情城市,761:28:14,2741294.36,761.47
浪淘沙,20:58:47,75527.89,20.98
黃金歲月,542:10:46,1951846.05,542.18
外鄉女,13:19:22,47962.56,13.32
大時代,579:10:47,2085047.90,579.18
幸福來了,469:36:36,1690596.70,469.61
春花望露,624:46:37,2249197.08,624.78
阿不拉的三個女人,46:33:10,167590.97,46.55
仙女不下凡,04:00:00,14400.67,4.00
党良家之味,02:24:00,8640.54,2.40
南國小太陽,16:00:02,57602.86,16.00
台灣傳奇,169:28:25,610105.62,169.47
奔跑吧！阿飛,32:00:09,115209.43,32.00
嫁妝,604:52:27,2177547.71,604.87
幸福之約,24:00:04,86404.02,24.00
幸福的滋味,04:00:00,14400.67,4.00
幸福魔法師,32:00:07,115207.80,32.00
微笑面對,27:12:04,97924.56,27.20
情義月光,32:00:05,115205.36,32.00
愛主的心願,03:12:00,11520.54,3.20
戀戀情深,32:00:04,115204.44,32.00
我和我母親,29:36:04,106564.96,29.60
我的尪我的某,32:48:06,118086.07,32.80
新芽,17:35:57,63357.43,17.60
春子,05:28:02,19682.96,5.47
晚晴,10:24:01,37441.74,10.40
清秀家人,32:00:07,115207.77,32.00
燕子啊,19:40:21,70821.61,19.67
生命圓舞曲,48:00:12,172812.94,48.00
移山倒海樊梨花,28:45:57,103557.46,28.77
竹音深處,32:00:06,115206.28,32.00
純美時光,16:00:02,57602.68,16.00
草山春暉,44:48:10,161290.08,44.80
藍色水玲瓏,276:07:49,994069.12,276.13
讓愛飛翔,28:00:04,100804.25,28.00
路邊董事長,59:12:11,213131.88,59.20
車站人生,24:00:04,86404.07,24.00
那一年鳳凰花開時,32:00:08,115208.58,32.00
阿寬,30:24:05,109445.07,30.40
雲彩飛揚,23:33:13,84793.56,23.55
頂坡角上的家,16:00:02,57602.47,16.00
一路芬芳,28:00:04,100804.69,28.00
人生二十甲,20:00:03,72003.35,20.00
人生算什麼,22:24:03,80643.75,22.40
同學，早安！,16:00:04,57604.01,16.00
在愛之外,24:00:06,86406.74,24.00
大林學校,25:36:08,92168.09,25.60
平凡 很幸福,24:00:04,86404.02,24.00
愛上ㄆㄤˋ滋味,17:36:04,63364.14,17.60
愛的路上我和你,24:00:04,86404.02,24.00
我在你心裡,16:00:02,57602.68,16.00
我家的美好時光,24:00:03,86403.86,24.00
我綿一家人,24:00:06,86406.83,24.00
掌中人生,16:00:04,57604.56,16.00
撿稻穗系列,24:00:03,86403.88,24.00
曾經我們一起12歲,24:00:04,86404.02,24.00
有你陪伴,20:00:05,72005.70,20.00
歲歲年年,24:00:07,86407.13,24.00
殷緣天成,16:00:02,57602.77,16.00
清風無痕,24:00:06,86406.81,24.00
生命桃花源,24:02:42,86562.17,24.05
真愛源起,24:00:04,86404.34,24.00
程哥懺悔路,24:00:04,86404.07,24.00
竹南往事,24:00:04,86404.02,24.00
與愛同行,24:00:06,86406.69,24.00
芳草碧連天,64:00:09,230409.57,64.00
若是來恆春,44:00:11,158411.15,44.00
菜頭梗的滋味,24:00:07,86407.11,24.00
觀音對我笑,20:00:03,72003.14,20.00
迎風而立,20:48:06,74886.06,20.80
阿良的歸白人生,19:12:03,69123.24,19.20
阿芬的幸福修練,24:00:04,86404.02,24.00
阿英的成長日記,26:24:04,95044.56,26.40
陪你看天星,48:00:09,172809.77,48.00
陽光下的足跡,37:36:06,135366.30,37.60
雨露,56:00:08,201608.84,56.00
黃金大天團,24:00:06,86406.83,24.00
