連續劇名稱,總時長 (格式化),總秒數,累計小時數
30周年大戲【天道】｜完整版,565:33:46,2036026.62,565.56
【一家團圓】,572:00:07,2059207.68,572.00
【天之驕女】全集,754:19:08,2715548.33,754.32
【戲說台灣】全集回顧一次看,1016:22:25,3658945.87,1016.37
【炮仔聲】全集,798:31:35,2874695.74,798.53
一家人,294:08:49,1058929.90,294.15
三叔公九嬸婆,39:30:11,142211.31,39.50
不了情,95:38:35,344315.70,95.64
世間情 Ordinary Love,992:51:39,3574299.18,992.86
世間路,127:15:15,458115.29,127.25
台灣奇案﹛全432集﹜,463:13:47,1667627.82,463.23
台灣廖添丁,60:52:08,219128.91,60.87
台灣霹靂火,229:32:40,826360.28,229.54
台灣龍捲風｜全集,243:44:56,877496.02,243.75
台語『阿爸的私房錢』,42:39:32,153572.75,42.66
夜市人生,701:18:58,2524738.52,701.32
大姐當家,71:27:13,257233.56,71.45
天下父母心｜全集,109:04:51,392691.59,109.08
天下第一味｜全集,225:40:23,812423.49,225.67
天龍傳奇｛全80集｝,28:14:31,101671.88,28.24
夫妻天註定,48:04:27,173067.32,48.07
女人40一枝花｛全136集｝,50:09:33,180573.88,50.16
娘家,663:22:16,2388136.95,663.37
媽祖｜全集線上看,49:23:49,177829.83,49.40
嫁妝一卡車,49:10:22,177022.91,49.17
家和萬事興｜全集,488:47:47,1759668.00,488.80
富貴在天﹛全118集﹜,86:44:12,312252.35,86.74
將心比心﹛全126集﹜,91:59:48,331188.77,92.00
情義,91:57:33,331053.18,91.96
愛,557:23:00,2006580.86,557.38
慾望人生,165:07:34,594454.53,165.13
擺渡：台東慈濟人的故事,66:24:12,239052.94,66.40
文英ㄟ厝邊,09:22:40,33760.08,9.38
日正當中,153:53:50,554030.44,153.90
春天後母心﹛全81集﹜,58:19:15,209955.34,58.32
深情孤女的願望,25:56:04,93364.67,25.93
父與子,437:12:36,1573956.88,437.21
牡丹花開 Peony In Bloom,175:17:25,631045.39,175.29
牽手【三立台灣台2011年底八點檔】,383:01:35,1378895.98,383.03
狀元親家｛全98集｝,78:06:39,281199.30,78.11
甘味人生,230:35:12,830112.90,230.59
白賊七｛全125集｝,40:35:25,146125.61,40.59
真命天子｛全249集｝,80:39:36,290376.55,80.66
網路獨家限定鳥來伯與十三姨｜全集,145:41:22,524482.99,145.69
親戚不計較 ｛全2248集｝,720:45:07,2594707.61,720.75
金枝玉葉,67:37:31,243451.44,67.63
長男的媳婦﹛全190集﹜,135:36:08,488168.82,135.60
青龍好漢 Ching Lung,109:23:00,393780.20,109.38
願望,213:20:33,768033.77,213.34
飛龍在天﹛全237集﹜,168:39:38,607178.60,168.66
黑貓大旅社｛全122集｝,40:02:58,144178.63,40.05
