連續劇名稱,總時長 (格式化),總秒數,累計小時數
警察先生｜全集,04:00:00,14400.56,4.00
讓愛傳出去,30:24:05,109445.09,30.40
走馬燈,15:40:17,56417.64,15.67
超級總舖師,15:26:02,55562.40,15.43
路長情更長 The Journey Toward Blessings,32:00:05,115205.36,32.00
醫世情 The Doctors (精華版),20:48:06,74886.94,20.80
金山與麗嬌,19:12:03,69123.22,19.20
金門大國銘 Kinmen Tough Guy,32:00:09,115209.17,32.00
鑼聲若響,08:00:01,28801.66,8.00
長情劇展 文武親家】,20:00:03,72003.35,20.00
阿嬌姨的苦甘人生,08:00:01,28801.34,8.00
阿母,29:05:44,104744.93,29.10
阿燕 A-Yan,36:00:09,129609.43,36.00
阿爸的願望,34:20:32,123632.09,34.34
阿爸講的話 A Father's Wisdom,32:00:05,115205.36,32.00
雨夜花,24:31:55,88315.67,24.53
順天聖母,23:11:14,83474.26,23.19
麻豆小鎮 A Brighter Life,32:00:05,115205.36,32.00
黃金線,32:00:05,115205.36,32.00
天公疼好人,49:37:32,178652.34,49.63
媽媽的真心畫,08:00:01,28801.76,8.00
媽媽請您也保重﹛全66集﹜,46:56:11,168971.83,46.94
媽祖拜觀音,29:02:42,104562.49,29.05
嫁妝一畚箕,15:28:49,55729.40,15.48
孤戀花,24:54:10,89650.33,24.90
家好月圓 Family Lessons,32:00:05,115205.32,32.00
小妹 Little Sister,32:00:05,115205.36,32.00
少女八家將(預告),00:07:01,421.32,0.12
幸福來牽手,07:12:01,25921.21,7.20
幸福在我家 Happy-go-lucky,32:00:05,115205.36,32.00
斷掌順娘,37:56:20,136580.91,37.94
日照大地,16:00:02,57602.68,16.00
明天更美麗 A Beautiful Future,40:00:06,144006.47,40.00
明日天晴 Tomorrow is another day,31:54:26,114866.71,31.91
春天父母心﹛全34集﹜,26:57:44,97064.93,26.96
月娘 Mama Moon,32:00:08,115208.16,32.00
某大姐,30:13:12,108792.10,30.22
歌仔戲『寶貝王爺貴千金』,17:20:45,62445.33,17.35
歌仔戲『逍遙公子』,13:13:32,47612.56,13.23
歡喜做頭家 Happy Bosses,16:00:02,57602.68,16.00
正德皇帝遊江南,16:00:23,57623.77,16.01
歲月的籤詩 Fortunes of Life,04:48:00,17280.90,4.80
民視劇場｛全9集｝,09:49:06,35346.98,9.82
民視臺灣作家劇場｛全17集｝,19:45:20,71120.20,19.76
水返腳的春天 Spring in the Heart,31:12:05,112325.23,31.20
永不放棄,32:00:05,115205.36,32.00
江南四才子,15:58:06,57486.33,15.97
